,MUNICIPIO,DEPARTAMENTO,VOTOS.x,VOTOS.y,supp
162,CALAMAR,GUAVIARE,1890,370,19.57671958
163,CALARCA,QUINDIO,30592,16138,52.75235356
164,CALDAS,ANTIOQUIA,29183,11704,40.1055409
165,CALDAS,BOYACA,1639,935,57.04697987
166,CALDONO,CAUCA,9954,1603,16.10407876
167,CALI,VALLE DEL CAUCA,623976,202749,32.49307666
168,CALIFORNIA,SANTANDER,902,679,75.27716186
169,CALIMA,VALLE DEL CAUCA,5843,2339,40.03080609
170,CALOTO,CAUCA,9610,1860,19.35483871
171,CAMPAMENTO,ANTIOQUIA,1645,582,35.37993921
172,CAMPO DE LA CRUZ,ATLANTICO,6636,1826,27.51657625
173,CAMPOALEGRE,HUILA,11066,6863,62.01879631
174,CAMPOHERMOSO,BOYACA,1339,845,63.10679612
176,CANALETE,CORDOBA,7014,1551,22.11291702
177,CANDELARIA,ATLANTICO,5602,626,11.17458051
178,CANDELARIA,VALLE DEL CAUCA,29843,6721,22.52119425
179,CANTAGALLO,BOLIVAR,2753,678,24.6276789
180,CAPARRAPI,CUNDINAMARCA,4795,3280,68.40458811
181,CAPITANEJO,SANTANDER,2496,1796,71.95512821
182,CAQUEZA,CUNDINAMARCA,7524,5135,68.2482722
183,CARACOLI,ANTIOQUIA,1750,838,47.88571429
184,CARAMANTA,ANTIOQUIA,2613,1374,52.58323766
185,CARCASI,SANTANDER,2005,1346,67.13216958
186,CAREPA,ANTIOQUIA,16677,6193,37.13497631
187,CARMEN DE APICALA,TOLIMA,4679,2375,50.75870913
188,CARMEN DE CARUPA,CUNDINAMARCA,3215,2302,71.60186625
189,CARMEN DE VIBORAL,ANTIOQUIA,18059,10224,56.61443048
190,CARMEN DEL DARIEN,CHOCO,2343,251,10.71276142
191,CAROLINA,ANTIOQUIA,1488,738,49.59677419
192,CARTAGENA,BOLIVAR,221386,90552,40.90231541
193,CARTAGENA DEL CHAIRA,CAQUETA,5090,1525,29.96070727
194,CARTAGO,VALLE DEL CAUCA,48521,24757,51.02326828
195,CARURU,VAUPES,540,145,26.85185185
196,CASABIANCA,TOLIMA,2510,1817,72.39043825
197,CASTILLA LA NUEVA,META,6750,4187,62.02962963
198,CAUCASIA,ANTIOQUIA,25846,10870,42.05679796
199,CEPITA,SANTANDER,1163,628,53.99828031
200,CERETE,CORDOBA,37249,15522,41.67091734
201,CERINZA,BOYACA,1815,1045,57.57575758
202,CERRITO,SANTANDER,2619,1293,49.36998855
203,CERRO DE SAN ANTONIO,MAGDALENA,3799,442,11.63464069
204,CERTEGUI,CHOCO,1755,652,37.15099715
205,CHACHAGUI,NARI„O,5419,1683,31.05739066
206,CHAGUANI,CUNDINAMARCA,1678,1126,67.10369487
207,CHALAN,SUCRE,2446,1143,46.72935405
208,CHAMEZA,CASANARE,937,580,61.89967983
209,CHAPARRAL,TOLIMA,15615,9304,59.58373359
210,CHARALA,SANTANDER,5324,1429,26.84072126
211,CHARTA,SANTANDER,2077,1448,69.71593645
212,CHIA,CUNDINAMARCA,45356,20666,45.56398271
213,CHIGORODO,ANTIOQUIA,18739,5444,29.05171034
215,CHIMA,CORDOBA,6653,1767,26.55944687
216,CHIMA,SANTANDER,1363,633,46.44167278
217,CHIMICHAGUA,CESAR,10639,4308,40.49252749
219,CHINACOTA,NORTE DE SANTANDER,6471,3208,49.57502704
220,CHINAVITA,BOYACA,1562,1058,67.73367478
221,CHINCHINA,CALDAS,21636,12712,58.75392864
222,CHINU,CORDOBA,20536,8456,41.17647059
223,CHIPAQUE,CUNDINAMARCA,4150,3113,75.01204819
224,CHIPATA,SANTANDER,2107,484,22.97104888
226,CHIQUINQUIRA,BOYACA,20939,10583,50.54205072
227,CHIQUIZA,BOYACA,2411,784,32.51762754
228,CHIRIGUANA,CESAR,9612,3831,39.85642946
229,CHISCAS,BOYACA,1824,1395,76.48026316
230,CHITA,BOYACA,3226,2744,85.05889647
231,CHITAGA,NORTE DE SANTANDER,3906,2850,72.96466974
232,CHITARAQUE,BOYACA,2439,1422,58.30258303
233,CHIVATA,BOYACA,1494,734,49.12985274
234,CHIVOLO,MAGDALENA,6073,2027,33.37724354
235,CHIVOR,BOYACA,937,640,68.30309498
236,CHOACHI,CUNDINAMARCA,6159,4461,72.43058938
237,CHOCONTA,CUNDINAMARCA,7857,4919,62.60659285
238,CICUCO,BOLIVAR,4531,1051,23.19576252
239,CIENAGA,MAGDALENA,30929,10141,32.78799832
240,CIENAGA DE ORO,CORDOBA,20841,7565,36.2986421
241,CIENEGA,BOYACA,2242,1836,81.8911686
242,CIMITARRA,SANTANDER,11771,5621,47.75295217
243,CIRCASIA,QUINDIO,12474,6512,52.20458554
244,CISNEROS,ANTIOQUIA,4855,2261,46.57054583
245,CLEMENCIA,BOLIVAR,4273,1192,27.89609174
246,COCORNA,ANTIOQUIA,6518,3670,56.30561522
247,COELLO,TOLIMA,3808,1405,36.8960084
248,COGUA,CUNDINAMARCA,7398,3651,49.35117599
249,COLOMBIA,HUILA,2981,2221,74.5051996
250,COLON,PUTUMAYO,2275,946,41.58241758
251,COLON,NARI„O,3426,1694,49.4454174
252,COLOSO,SUCRE,3776,1435,38.00317797
253,COMBITA,BOYACA,4241,2081,49.06861589
254,CONCEPCION,ANTIOQUIA,2148,1486,69.18063315
255,CONCEPCION,SANTANDER,2669,1516,56.80029974
256,CONCORDIA,ANTIOQUIA,6698,5123,76.48551807
257,CONCORDIA,MAGDALENA,4851,829,17.08925995
258,CONDOTO,CHOCO,3199,1826,57.08033761
259,CONFINES,SANTANDER,1375,828,60.21818182
260,CONSACA,NARI„O,4822,1681,34.8610535
261,CONTADERO,NARI„O,2796,1796,64.23462089
262,CONTRATACION,SANTANDER,1533,759,49.51076321
263,CONVENCION,NORTE DE SANTANDER,4465,1221,27.34602464
264,COPACABANA,ANTIOQUIA,26678,11948,44.78596596
265,COPER,BOYACA,1680,756,45
266,CORDOBA,BOLIVAR,7021,2313,32.94402507
267,CORDOBA,NARI„O,4716,1634,34.64800679
268,CORDOBA,QUINDIO,2712,1217,44.87463127
270,CORINTO,CAUCA,9756,1144,11.72611726
271,COROMORO,SANTANDER,2374,1176,49.53664701
272,COROZAL,SUCRE,24030,9055,37.68206409
273,CORRALES,BOYACA,1289,738,57.25368503
275,COTA,CUNDINAMARCA,11275,5523,48.98447894
276,COTORRA,CORDOBA,8131,3642,44.79153856
277,COVARACHIA,BOYACA,1470,1197,81.42857143
278,COVE„AS,SUCRE,6384,2326,36.43483709
279,COYAIMA,TOLIMA,8341,2954,35.41541782
280,CRAVO NORTE,ARAUCA,1557,871,55.94091201
281,CUASPUD,NARI„O,3682,1344,36.50190114
283,CUBARA,BOYACA,1812,663,36.58940397
284,CUBARRAL,META,2759,2091,75.7883291
285,CUCAITA,BOYACA,1868,1062,56.85224839
286,CUCUNUBA,CUNDINAMARCA,2881,1913,66.40055536
287,CUCUTA,NORTE DE SANTANDER,241807,102037,42.19770313
288,CUCUTILLA,NORTE DE SANTANDER,3334,1857,55.69886023
289,CUITIVA,BOYACA,1091,731,67.00274977
290,CUMARAL,META,8602,5604,65.14764008
291,CUMARIBO,VICHADA,3776,1022,27.06567797
292,CUMBAL,NARI„O,12372,2726,22.03362431
293,CUMBITARA,NARI„O,2754,183,6.644880174
294,CUNDAY,TOLIMA,3464,2505,72.31524249
296,CURILLO,CAQUETA,2274,1440,63.32453826
297,CURITI,SANTANDER,5098,2760,54.13887799
298,CURUMANI,CESAR,11628,3452,29.6869625
299,DABEIBA,ANTIOQUIA,5951,2234,37.53990926
300,DAGUA,VALLE DEL CAUCA,16012,7345,45.87184612
301,DIBULLA,LA GUAJIRA,7946,1545,19.44374528
303,DISTRACCION,LA GUAJIRA,3874,910,23.48993289
304,DOLORES,TOLIMA,3183,2329,73.16996544
305,DON MATIAS,ANTIOQUIA,7452,5842,78.39506173
306,DOSQUEBRADAS,RISARALDA,76547,36153,47.22980652
307,DUITAMA,BOYACA,45913,22740,49.52845599
308,DURANIA,NORTE DE SANTANDER,2313,874,37.78642456
309,EBEJICO,ANTIOQUIA,5397,3672,68.03779878
312,EL AGUILA,VALLE DEL CAUCA,3891,3099,79.64533539
313,EL BAGRE,ANTIOQUIA,10229,5356,52.3609346
314,EL BANCO,MAGDALENA,19814,8227,41.52114666
315,EL CAIRO,VALLE DEL CAUCA,2814,1972,70.07818053
316,EL CALVARIO,META,901,672,74.58379578
317,EL CANTON DEL SAN PABLO,CHOCO,1509,630,41.74950298
318,EL CARMEN,CHOCO,2315,1108,47.86177106
319,EL CARMEN,NORTE DE SANTANDER,4045,1575,38.93695921
320,EL CARMEN,SANTANDER,5981,4283,71.61009865
321,EL CARMEN DE BOLIVAR,BOLIVAR,23898,11666,48.81580049
322,EL CASTILLO,META,2407,1003,41.67012879
323,EL CERRITO,VALLE DEL CAUCA,23215,5492,23.65711824
324,EL CHARCO,NARI„O,6719,339,5.04539366
325,EL COCUY,BOYACA,2033,1688,83.03000492
326,EL COLEGIO,CUNDINAMARCA,9608,5359,55.7764363
327,EL COPEY,CESAR,10334,3352,32.43661699
328,EL DONCELLO,CAQUETA,6154,4007,65.1121222
329,EL DORADO,META,1722,1227,71.2543554
330,EL DOVIO,VALLE DEL CAUCA,4209,2025,48.11119031
331,EL ENCANTO,AMAZONAS,249,120,48.19277108
332,EL ESPINO,BOYACA,1300,1143,87.92307692
333,EL GUACAMAYO,SANTANDER,935,445,47.59358289
334,EL GUAMO,BOLIVAR,3165,979,30.93206951
335,EL LITORAL DEL SAN JUAN,CHOCO,2779,96,3.454480029
336,EL MOLINO,LA GUAJIRA,3420,763,22.30994152
337,EL PASO,CESAR,9006,2080,23.09571397
338,EL PAUJIL,CAQUETA,3566,1864,52.27145261
339,EL PE„OL,NARI„O,3328,1116,33.53365385
340,EL PE„ON,BOLIVAR,2566,1212,47.23304754
341,EL PE„ON,CUNDINAMARCA,2093,1672,79.88533206
342,EL PE„ON,SANTANDER,1699,720,42.37786933
343,EL PI„ON,MAGDALENA,7066,1537,21.75205208
344,EL PLAYON,SANTANDER,5600,3078,54.96428571
345,EL RETEN,MAGDALENA,6153,764,12.4167073
346,EL RETORNO,GUAVIARE,4379,1872,42.74948618
347,EL ROBLE,SUCRE,4173,1040,24.92211838
348,EL ROSAL,CUNDINAMARCA,8710,5794,66.52123995
349,EL ROSARIO,NARI„O,3080,227,7.37012987
351,EL TABLON,NARI„O,6008,3169,52.74633822
352,EL TAMBO,CAUCA,15954,4406,27.61689858
353,EL TAMBO,NARI„O,6487,1980,30.52258363
354,EL TARRA,NORTE DE SANTANDER,3662,152,4.150737302
355,EL ZULIA,NORTE DE SANTANDER,9336,3624,38.81748072
356,ELIAS,HUILA,1669,1385,82.98382265
358,ENCINO,SANTANDER,1192,575,48.23825503
359,ENCISO,SANTANDER,1805,783,43.37950139
360,ENTRERRIOS,ANTIOQUIA,3544,2381,67.18397291
361,ENVIGADO,ANTIOQUIA,112797,70408,62.42009983
363,ESPINAL,TOLIMA,31925,15905,49.81989037
365,FACATATIVA,CUNDINAMARCA,48613,24601,50.60580503
366,FALAN,TOLIMA,3041,1378,45.31404143
367,FILADELFIA,CALDAS,4955,3069,61.93743693
368,FILANDIA,QUINDIO,5564,3011,54.11574407
371,FIRAVITOBA,BOYACA,2565,1166,45.45808967
372,FLANDES,TOLIMA,8860,4524,51.06094808
373,FLORENCIA,CAQUETA,55266,38546,69.74631781
374,FLORENCIA,CAUCA,2459,462,18.78812525
375,FLORESTA,BOYACA,1692,1170,69.14893617
376,FLORIAN,SANTANDER,2389,738,30.89158644
377,FLORIDA,VALLE DEL CAUCA,20970,5215,24.86886028
378,FLORIDABLANCA,SANTANDER,95023,38613,40.63542511
379,FOMEQUE,CUNDINAMARCA,5627,4309,76.57721699
380,FONSECA,LA GUAJIRA,12856,2208,17.17485999
381,FORTUL,ARAUCA,5048,947,18.75990491
382,FOSCA,CUNDINAMARCA,2958,2457,83.06288032
384,FRANCISCO PIZARRO,NARI„O,2374,247,10.40438079
385,FREDONIA,ANTIOQUIA,7264,4439,61.1095815
386,FRESNO,TOLIMA,12288,8966,72.96549479
387,FRONTINO,ANTIOQUIA,5731,2039,35.57843308
388,FUENTE DE ORO,META,5154,2860,55.49088087
389,FUNDACION,MAGDALENA,20194,9129,45.20649698
390,FUNES,NARI„O,3183,886,27.83537543
391,FUNZA,CUNDINAMARCA,33532,14607,43.56137421
392,FUQUENE,CUNDINAMARCA,2013,988,49.08097367
393,FUSAGASUGA,CUNDINAMARCA,49501,28368,57.30793317
394,GACHALA,CUNDINAMARCA,2313,1200,51.88067445
395,GACHANCIPA,CUNDINAMARCA,5353,1955,36.52157669
396,GACHANTIVA,BOYACA,1578,913,57.85804816
397,GACHETA,CUNDINAMARCA,4433,3038,68.53146853
398,GALAN,SANTANDER,1384,949,68.56936416
399,GALAPA,ATLANTICO,15815,2082,13.16471704
400,GALERAS,SUCRE,8401,3691,43.9352458
401,GAMA,CUNDINAMARCA,1490,987,66.24161074
402,GAMARRA,CESAR,5311,1946,36.64093391
403,GAMBITA,SANTANDER,1674,778,46.47550777
404,GAMEZA,BOYACA,2051,1495,72.89127255
405,GARAGOA,BOYACA,6166,3391,54.99513461
406,GARZON,HUILA,24645,18515,75.12680057
407,GENOVA,QUINDIO,3828,2156,56.32183908
408,GIGANTE,HUILA,8981,6739,75.03618751
409,GINEBRA,VALLE DEL CAUCA,7990,2948,36.89612015
410,GIRALDO,ANTIOQUIA,2031,1054,51.89561792
411,GIRARDOT,CUNDINAMARCA,42133,18726,44.44497187
412,GIRARDOTA,ANTIOQUIA,19567,7260,37.10328615
413,GIRON,SANTANDER,53309,21400,40.14331539
414,GOMEZ PLATA,ANTIOQUIA,3117,1667,53.48091113
415,GONZALEZ,CESAR,1997,585,29.29394091
416,GRAMALOTE,NORTE DE SANTANDER,2735,1533,56.0511883
417,GRANADA,ANTIOQUIA,4546,3303,72.65728113
418,GRANADA,CUNDINAMARCA,3053,1814,59.41696692
419,GRANADA,META,23942,13826,57.74789074
421,GUACA,SANTANDER,2793,1747,62.54923022
422,GUACAMAYAS,BOYACA,920,803,87.2826087
423,GUACARI,VALLE DEL CAUCA,14099,2584,18.32754096
424,GUACHENE,CAUCA,8059,647,8.028291351
425,GUACHETA,CUNDINAMARCA,4279,2384,55.71395186
426,GUACHUCAL,NARI„O,8114,2070,25.51146167
427,GUADALUPE,ANTIOQUIA,1887,664,35.18812931
428,GUADALUPE,HUILA,6487,5445,83.93710498
429,GUADALUPE,SANTANDER,2359,1598,67.74056804
430,GUADUAS,CUNDINAMARCA,10637,6042,56.80172981
431,GUAITARILLA,NARI„O,5131,1466,28.57142857
432,GUALMATAN,NARI„O,2674,1626,60.80777861
433,GUAMAL,MAGDALENA,7825,2482,31.71884984
434,GUAMAL,META,6370,4663,73.20251177
435,GUAMO,TOLIMA,12527,8067,64.39690269
436,GUAPI,CAUCA,8215,767,9.336579428
437,GUAPOTA,SANTANDER,1128,539,47.78368794
438,GUARANDA,SUCRE,6502,3663,56.33651184
439,GUARNE,ANTIOQUIA,16866,10600,62.84833393
440,GUASCA,CUNDINAMARCA,5340,3273,61.29213483
441,GUATAPE,ANTIOQUIA,3644,2164,59.38529089
442,GUATAQUI,CUNDINAMARCA,1031,459,44.51988361
443,GUATAVITA,CUNDINAMARCA,2721,1737,63.8368247
445,GUATEQUE,BOYACA,4313,2113,48.99142128
446,GUATICA,RISARALDA,5739,4466,77.81843527
447,GUAVATA,SANTANDER,2177,897,41.20349104
448,GUAYABAL DE SIQUIMA,CUNDINAMARCA,2021,1397,69.12419594
449,GUAYABETAL,CUNDINAMARCA,2530,2019,79.80237154
450,GUAYATA,BOYACA,2032,1487,73.17913386
451,GUEPSA,SANTANDER,2004,631,31.48702595
452,GUICAN,BOYACA,1667,1299,77.92441512
453,GUTIERREZ,CUNDINAMARCA,1671,1419,84.91921005
454,HACARI,NORTE DE SANTANDER,2855,169,5.91943958
455,HATILLO DE LOBA,BOLIVAR,4238,2116,49.92921189
456,HATO,SANTANDER,1090,346,31.74311927
457,HATO COROZAL,CASANARE,3869,3145,81.2871543
458,HATONUEVO,LA GUAJIRA,6036,1079,17.87607687
459,HELICONIA,ANTIOQUIA,2622,1238,47.21586575
460,HERRAN,NORTE DE SANTANDER,1360,818,60.14705882
461,HERVEO,TOLIMA,2989,2251,75.30946805
462,HISPANIA,ANTIOQUIA,2138,1096,51.26286249
463,HOBO,HUILA,2696,1948,72.25519288
465,HONDA,TOLIMA,10554,4959,46.98692439
467,IBAGUE,TOLIMA,201187,114266,56.79591624
468,ICONONZO,TOLIMA,3998,1828,45.72286143
469,ILES,NARI„O,3123,1496,47.9026577
470,IMUES,NARI„O,3388,1290,38.0755608
473,INIRIDA,GUAINIA,6802,2960,43.51661276
474,INZA,CAUCA,6795,2933,43.16409124
475,IPIALES,NARI„O,37495,14948,39.86664889
476,IQUIRA,HUILA,3621,2526,69.75973488
478,ISNOS,HUILA,10244,7854,76.66926982
480,ISTMINA,CHOCO,6530,3249,49.75497703
481,ITAGUI,ANTIOQUIA,109311,51366,46.99069627
483,ITUANGO,ANTIOQUIA,4409,1610,36.51621683
484,IZA,BOYACA,1075,641,59.62790698
486,JAMBALO,CAUCA,3942,315,7.99086758
487,JAMUNDI,VALLE DEL CAUCA,39457,10383,26.31472236
489,JARDIN,ANTIOQUIA,6066,4248,70.02967359
490,JENESANO,BOYACA,2764,1622,58.68306802
491,JERICO,ANTIOQUIA,5194,3810,73.35386985
492,JERICO,BOYACA,1639,1361,83.03843807
493,JERUSALEN,CUNDINAMARCA,1243,782,62.91230893
494,JESUS MARIA,SANTANDER,1562,754,48.27144686
495,JORDAN,SANTANDER,640,524,81.875
496,JUAN DE ACOSTA,ATLANTICO,7087,1531,21.60293495
497,JUNIN,CUNDINAMARCA,2698,1830,67.82802076
498,JURADO,CHOCO,897,275,30.65774805
500,LA APARTADA,CORDOBA,5999,1176,19.60326721
501,LA ARGENTINA,HUILA,4857,3778,77.78464072
502,LA BELLEZA,SANTANDER,2629,1929,73.37390643
503,LA CALERA,CUNDINAMARCA,10496,4763,45.37919207
504,LA CAPILLA,BOYACA,1354,855,63.14623338
505,LA CEJA,ANTIOQUIA,24750,14925,60.3030303
506,LA CELIA,RISARALDA,3449,2462,71.38300957
507,LA CHORRERA,AMAZONAS,493,147,29.81744422
508,LA CRUZ,NARI„O,7720,4019,52.05958549
509,LA CUMBRE,VALLE DEL CAUCA,5519,2361,42.77948904
510,LA DORADA,CALDAS,26852,14848,55.29569492
511,LA ESPERANZA,NORTE DE SANTANDER,3663,2216,60.4968605
512,LA ESTRELLA,ANTIOQUIA,23017,11445,49.72411696
513,LA FLORIDA,NARI„O,4863,1481,30.45445198
514,LA GLORIA,CESAR,5403,1995,36.92393115
515,LA GUADALUPE,GUAINIA,43,32,74.41860465
516,LA JAGUA DE IBIRICO,CESAR,12683,1986,15.65875581
517,LA JAGUA DEL PILAR,LA GUAJIRA,1843,432,23.44004341
518,LA LLANADA,NARI„O,1916,441,23.01670146
519,LA MACARENA,META,3096,1144,36.95090439
520,LA MERCED,CALDAS,2823,1729,61.24690046
521,LA MESA,CUNDINAMARCA,11887,6212,52.25877008
522,LA MONTA„ITA,CAQUETA,2845,1325,46.57293497
523,LA PALMA,CUNDINAMARCA,3741,1778,47.52739909
524,LA PAZ,CESAR,8134,3309,40.68109171
525,LA PAZ,SANTANDER,1928,1029,53.37136929
526,LA PE„A,CUNDINAMARCA,3171,2674,84.32671082
527,LA PEDRERA,AMAZONAS,187,63,33.68983957
528,LA PINTADA,ANTIOQUIA,3141,2032,64.692773
529,LA PLATA,HUILA,18988,14252,75.05793133
530,LA PLAYA,NORTE DE SANTANDER,2507,1083,43.19904268
531,LA PRIMAVERA,VICHADA,3264,2403,73.62132353
532,LA SALINA,CASANARE,419,155,36.9928401
533,LA SIERRA,CAUCA,4161,1524,36.6258111
534,LA TEBAIDA,QUINDIO,14393,6510,45.23032029
535,LA TOLA,NARI„O,2131,168,7.883622712
536,LA UNION,ANTIOQUIA,8929,6065,67.92473961
537,LA UNION,NARI„O,10671,6654,62.35591791
538,LA UNION,SUCRE,5068,1170,23.08602999
539,LA UNION,VALLE DEL CAUCA,13052,8631,66.12779651
540,LA UVITA,BOYACA,1348,1056,78.33827893
541,LA VEGA,CAUCA,6091,1315,21.58923001
542,LA VEGA,CUNDINAMARCA,6559,3868,58.97240433
543,LA VICTORIA,AMAZONAS,6,3,50
544,LA VICTORIA,BOYACA,761,352,46.25492773
545,LA VICTORIA,VALLE DEL CAUCA,5017,2550,50.82718756
546,LA VIRGINIA,RISARALDA,14873,6654,44.73878841
547,LABATECA,NORTE DE SANTANDER,2402,1325,55.1623647
548,LABRANZAGRANDE,BOYACA,1506,1250,83.00132802
549,LANDAZURI,SANTANDER,4178,1771,42.38870273
550,LEBRIJA,SANTANDER,16099,8216,51.03422573
551,LEIVA,NARI„O,3358,307,9.142346635
552,LEJANIAS,META,3949,2396,60.67358825
553,LENGUAZAQUE,CUNDINAMARCA,3907,3085,78.96083952
554,LERIDA,TOLIMA,7249,2999,41.37122362
555,LETICIA,AMAZONAS,12662,7107,56.12857369
557,LIBANO,TOLIMA,15542,8830,56.81379488
558,LIBORINA,ANTIOQUIA,4210,2892,68.6935867
559,LINARES,NARI„O,5134,624,12.15426568
560,LLORO,CHOCO,2542,750,29.5043273
561,LOPEZ,CAUCA,4794,331,6.904463913
562,LORICA,CORDOBA,46034,13100,28.45722727
563,LOS ANDES,NARI„O,4024,564,14.01590457
564,LOS CORDOBAS,CORDOBA,6574,1970,29.96653483
565,LOS PALMITOS,SUCRE,10368,2800,27.00617284
566,LOS PATIOS,NORTE DE SANTANDER,32161,15121,47.01657287
567,LOS SANTOS,SANTANDER,5023,2206,43.9179773
568,LOURDES,NORTE DE SANTANDER,1715,1231,71.77842566
569,LURUACO,ATLANTICO,10121,2341,23.13012548
570,MACANAL,BOYACA,1844,1206,65.40130152
571,MACARAVITA,SANTANDER,1130,832,73.62831858
572,MACEO,ANTIOQUIA,2813,1446,51.40419481
573,MACHETA,CUNDINAMARCA,3044,2157,70.86070959
574,MADRID,CUNDINAMARCA,29168,13883,47.59668129
575,MAGANGUE,BOLIVAR,39334,12602,32.03844003
576,MAGUI,NARI„O,2449,214,8.738260514
577,MAHATES,BOLIVAR,7455,3165,42.45472837
578,MAICAO,LA GUAJIRA,30186,9046,29.96753462
579,MAJAGUAL,SUCRE,14145,6946,49.10569106
580,MALAGA,SANTANDER,8202,4637,56.53499147
581,MALAMBO,ATLANTICO,30286,5490,18.12718748
583,MALLAMA,NARI„O,2837,370,13.04194572
584,MANATI,ATLANTICO,5769,571,9.897729243
585,MANAURE,LA GUAJIRA,8076,1740,21.54531947
586,MANAURE BALCON DEL CESAR,CESAR,3593,1066,29.66880045
587,MANI,CASANARE,5075,3909,77.02463054
588,MANIZALES,CALDAS,172232,89069,51.71454782
589,MANTA,CUNDINAMARCA,2402,1470,61.19900083
590,MANZANARES,CALDAS,7980,6023,75.47619048
591,MAPIRIPAN,META,1750,857,48.97142857
592,MAPIRIPANA,GUAINIA,85,21,24.70588235
593,MARGARITA,BOLIVAR,3532,1548,43.82785957
594,MARIA LA BAJA,BOLIVAR,15006,3135,20.89164334
595,MARINILLA,ANTIOQUIA,20139,12190,60.52932122
596,MARIPI,BOYACA,2983,1623,54.40831378
597,MARIQUITA,TOLIMA,14643,7581,51.77217783
598,MARMATO,CALDAS,2803,1737,61.96931859
599,MARQUETALIA,CALDAS,6111,5030,82.31058747
601,MARSELLA,RISARALDA,8158,5337,65.42044619
602,MARULANDA,CALDAS,1420,880,61.97183099
603,MATANZA,SANTANDER,2862,1992,69.60167715
604,MEDELLIN,ANTIOQUIA,739244,448368,60.6522339
605,MEDINA,CUNDINAMARCA,3728,2692,72.21030043
606,MEDIO ATRATO,CHOCO,1875,338,18.02666667
607,MEDIO BAUDO,CHOCO,2290,776,33.88646288
608,MEDIO SAN JUAN,CHOCO,1074,309,28.77094972
609,MELGAR,TOLIMA,13281,9048,68.12740005
610,MERCADERES,CAUCA,6509,940,14.44154248
611,MESETAS,META,3236,1485,45.88998764
613,MILAN,CAQUETA,1758,1001,56.93970421
614,MIRAFLORES,BOYACA,4307,1692,39.28488507
615,MIRAFLORES,GUAVIARE,1128,164,14.53900709
616,MIRANDA,CAUCA,11015,1998,18.1389015
617,MIRITI PARANA,AMAZONAS,75,9,12
618,MISTRATO,RISARALDA,5768,2794,48.43966713
619,MITU,VAUPES,4712,1316,27.9286927
620,MO„ITOS,CORDOBA,9056,3202,35.35777385
621,MOCOA,PUTUMAYO,16551,6327,38.22729744
622,MOGOTES,SANTANDER,4007,2284,57.00024956
623,MOLAGAVITA,SANTANDER,1867,1462,78.3074451
624,MOMIL,CORDOBA,7212,2253,31.23960067
625,MOMPOS,BOLIVAR,13668,4643,33.9698566
626,MONGUA,BOYACA,2461,2136,86.79398618
627,MONGUI,BOYACA,1925,1330,69.09090909
628,MONIQUIRA,BOYACA,8630,4438,51.42526072
629,MONTEBELLO,ANTIOQUIA,2775,1779,64.10810811
630,MONTECRISTO,BOLIVAR,2804,1155,41.19115549
631,MONTELIBANO,CORDOBA,26569,4683,17.62580451
632,MONTENEGRO,QUINDIO,16862,8497,50.39141264
633,MONTERIA,CORDOBA,141349,72074,50.99010251
634,MONTERREY,CASANARE,6198,4452,71.82962246
635,MORALES,BOLIVAR,5096,2408,47.25274725
636,MORALES,CAUCA,8337,2011,24.12138659
637,MORELIA,CAQUETA,1468,1115,75.95367847
638,MORICHAL,GUAINIA,23,1,4.347826087
639,MORICHAL,VAUPES,21,1,4.761904762
640,MORROA,SUCRE,7005,2732,39.00071378
641,MOSQUERA,CUNDINAMARCA,30811,14090,45.73042095
642,MOSQUERA,NARI„O,2448,241,9.844771242
643,MOTAVITA,BOYACA,2763,1239,44.84256243
644,MURILLO,TOLIMA,1515,1066,70.3630363
645,MURINDO,ANTIOQUIA,1132,48,4.240282686
646,MUTATA,ANTIOQUIA,4535,1092,24.07938258
647,MUTISCUA,NORTE DE SANTANDER,1641,1051,64.04631322
648,MUZO,BOYACA,3381,2234,66.0751257
649,NARI„O,ANTIOQUIA,3966,3266,82.34997479
650,NARI„O,CUNDINAMARCA,1114,558,50.08976661
651,NARI„O,NARI„O,2635,634,24.06072106
652,NATAGA,HUILA,2347,1880,80.1022582
653,NATAGAIMA,TOLIMA,6920,2681,38.74277457
654,NECHI,ANTIOQUIA,6053,3358,55.47662316
655,NECOCLI,ANTIOQUIA,13411,4185,31.20572664
656,NEIRA,CALDAS,10097,6310,62.49381004
657,NEIVA,HUILA,114673,62256,54.29002468
658,NEMOCON,CUNDINAMARCA,5060,2106,41.62055336
660,NILO,CUNDINAMARCA,3022,1699,56.22104567
661,NIMAIMA,CUNDINAMARCA,1757,1294,73.64826409
662,NOBSA,BOYACA,6802,2723,40.03234343
663,NOCAIMA,CUNDINAMARCA,2841,1635,57.55015839
664,NORCASIA,CALDAS,2791,1367,48.97886062
665,NOROSI,BOLIVAR,1563,514,32.88547665
667,NOVITA,CHOCO,1075,654,60.8372093
668,NUEVA GRANADA,MAGDALENA,7268,3429,47.17941662
670,NUEVO COLON,BOYACA,2359,1441,61.0852056
671,NUNCHIA,CASANARE,3590,2982,83.06406685
672,NUQUI,CHOCO,1794,301,16.77814939
673,OBANDO,VALLE DEL CAUCA,5427,2236,41.20140041
674,OCA„A,NORTE DE SANTANDER,32517,15464,47.55666267
675,OCAMONTE,SANTANDER,2217,1126,50.78935498
676,OIBA,SANTANDER,4474,2519,56.30308449
677,OICATA,BOYACA,1261,635,50.35685964
678,OLAYA,ANTIOQUIA,1311,946,72.15865751
