,MUNICIPIO,DEPARTAMENTO,VOTOS.x,VOTOS.y,supp
1070,TIMBIQUI,CAUCA,6003,572,9.528569049
1071,TINJACA,BOYACA,1448,769,53.10773481
1072,TIPACOQUE,BOYACA,1683,904,53.71360665
1073,TIQUISIO,BOLIVAR,4768,2533,53.125
1074,TITIRIBI,ANTIOQUIA,3307,1486,44.93498639
1075,TOCA,BOYACA,3966,2075,52.3197176
1076,TOCAIMA,CUNDINAMARCA,6541,3177,48.57055496
1077,TOCANCIPA,CUNDINAMARCA,13728,5158,37.57284382
1078,TOGUI,BOYACA,1820,931,51.15384615
1079,TOLEDO,ANTIOQUIA,1577,997,63.22130628
1080,TOLEDO,NORTE DE SANTANDER,6059,3968,65.48935468
1081,TOLU,SUCRE,11420,3702,32.41681261
1082,TOLUVIEJO,SUCRE,9875,2654,26.87594937
1083,TONA,SANTANDER,2849,1249,43.83994384
1084,TOPAGA,BOYACA,1735,1120,64.55331412
1085,TOPAIPI,CUNDINAMARCA,2036,959,47.1021611
1086,TORIBIO,CAUCA,9362,634,6.772057253
1087,TORO,VALLE DEL CAUCA,5401,3319,61.45158304
1088,TOTA,BOYACA,2212,1593,72.01627486
1089,TOTORO,CAUCA,5007,787,15.71799481
1090,TRINIDAD,CASANARE,4871,4066,83.47361938
1092,TRUJILLO,VALLE DEL CAUCA,6691,4176,62.41219549
1093,TUBARA,ATLANTICO,5310,796,14.9905838
1094,TUCHIN,CORDOBA,12741,4078,32.00690684
1095,TULUA,VALLE DEL CAUCA,70879,27888,39.34592757
1096,TUMACO,NARI„O,48433,15756,32.53153841
1097,TUNJA,BOYACA,62647,23026,36.75515188
1098,TUNUNGUA,BOYACA,697,258,37.01578192
1099,TUQUERRES,NARI„O,16275,3988,24.50384025
1100,TURBACO,BOLIVAR,18231,6398,35.09407054
1101,TURBANA,BOLIVAR,5946,2267,38.12647158
1102,TURBO,ANTIOQUIA,37471,10183,27.17568253
1103,TURMEQUE,BOYACA,2777,1431,51.53042852
1105,TUTA,BOYACA,3985,2146,53.85194479
1106,TUTAZA,BOYACA,1060,701,66.13207547
1107,UBALA,CUNDINAMARCA,3570,2104,58.93557423
1108,UBAQUE,CUNDINAMARCA,3047,2059,67.5746636
1109,UBATE,CUNDINAMARCA,15295,9227,60.32690422
1110,ULLOA,VALLE DEL CAUCA,2389,1130,47.30012558
1111,UMBITA,BOYACA,3374,2616,77.53408417
1112,UNE,CUNDINAMARCA,3722,2544,68.35034927
1113,UNGUIA,CHOCO,2830,945,33.39222615
1114,UNION PANAMERICANA,CHOCO,2232,1211,54.2562724
1115,URAMITA,ANTIOQUIA,2542,883,34.73642801
1116,URIBE,META,1810,176,9.723756906
1117,URIBIA,LA GUAJIRA,9862,2769,28.07746907
1118,URRAO,ANTIOQUIA,7917,4972,62.80156625
1120,URUMITA,LA GUAJIRA,4339,1118,25.7663056
1121,USIACURI,ATLANTICO,4249,400,9.41397976
1122,UTICA,CUNDINAMARCA,2596,1853,71.37904468
1123,VALDIVIA,ANTIOQUIA,3097,1248,40.29706167
1124,VALENCIA,CORDOBA,13445,3995,29.7136482
1125,VALLE DE SAN JOSE,SANTANDER,2756,1478,53.62844702
1126,VALLE DE SAN JUAN,TOLIMA,2640,1984,75.15151515
1127,VALLE DEL GUAMUEZ,PUTUMAYO,10136,735,7.251381215
1128,VALLEDUPAR,CESAR,120968,43822,36.22610938
1129,VALPARAISO,ANTIOQUIA,2678,1341,50.0746826
1130,VALPARAISO,CAQUETA,2603,1488,57.16480983
1131,VEGACHI,ANTIOQUIA,3346,2181,65.18230723
1132,VELEZ,SANTANDER,8359,3134,37.49252303
1133,VENADILLO,TOLIMA,5528,2568,46.45441389
1134,VENECIA,ANTIOQUIA,4480,2527,56.40625
1135,VENECIA,CUNDINAMARCA,1641,916,55.81962218
1137,VENTAQUEMADA,BOYACA,5283,3633,68.7677456
1138,VERGARA,CUNDINAMARCA,3323,2485,74.78182365
1139,VERSALLES,VALLE DEL CAUCA,3569,2309,64.69599328
1140,VETAS,SANTANDER,848,683,80.54245283
1141,VIANI,CUNDINAMARCA,1961,1176,59.96940337
1142,VICTORIA,CALDAS,4276,2322,54.303087
1143,VIGIA DEL FUERTE,ANTIOQUIA,2179,316,14.50206517
1144,VIJES,VALLE DEL CAUCA,4271,1768,41.39545774
1145,VILLA CARO,NORTE DE SANTANDER,1739,1306,75.10063255
1146,VILLA DE LEIVA,BOYACA,6133,3098,50.51361487
1147,VILLA DEL ROSARIO,NORTE DE SANTANDER,30565,14660,47.96335678
1148,VILLA RICA,CAUCA,7524,654,8.692185008
1149,VILLAGARZON,PUTUMAYO,6749,2935,43.48792414
1150,VILLAGOMEZ,CUNDINAMARCA,1011,463,45.79624135
1151,VILLAHERMOSA,TOLIMA,3566,2876,80.6505889
1152,VILLAMARIA,CALDAS,21260,10557,49.65663217
1153,VILLANUEVA,BOLIVAR,6668,3581,53.70425915
1154,VILLANUEVA,CASANARE,9825,6814,69.35368957
1155,VILLANUEVA,LA GUAJIRA,9162,2810,30.67015935
1156,VILLANUEVA,SANTANDER,3481,2208,63.43004884
1157,VILLAPINZON,CUNDINAMARCA,7725,5868,75.96116505
1158,VILLARRICA,TOLIMA,2441,1857,76.07537894
1159,VILLAVICENCIO,META,165482,102178,61.74568835
1160,VILLAVIEJA,HUILA,3272,1636,50
1161,VILLETA,CUNDINAMARCA,11858,8291,69.919042
1162,VIOTA,CUNDINAMARCA,5220,2991,57.29885057
1163,VIRACACHA,BOYACA,1483,1082,72.96021578
1164,VISTA HERMOSA,META,5665,3221,56.85789938
1165,VITERBO,CALDAS,7017,5385,76.74219752
1166,YACOPI,CUNDINAMARCA,4910,2773,56.47657841
1167,YACUANQUER,NARI„O,4760,1577,33.1302521
1168,YAGUARA,HUILA,3397,2182,64.23314689
1169,YALI,ANTIOQUIA,1808,950,52.54424779
1170,YARUMAL,ANTIOQUIA,11566,7830,67.69842642
1171,YAVARATE,VAUPES,333,83,24.92492492
1172,YOLOMBO,ANTIOQUIA,5193,3067,59.06027345
1173,YONDO-CASABE,ANTIOQUIA,5648,1747,30.93130312
1174,YOPAL,CASANARE,54786,40980,74.80013142
1175,YOTOCO,VALLE DEL CAUCA,6364,2136,33.56379635
1176,YUMBO,VALLE DEL CAUCA,40421,8972,22.19638307
1177,ZAMBRANO,BOLIVAR,4769,523,10.96665968
1178,ZAPATOCA,SANTANDER,3511,2199,62.63172885
1179,ZAPAYAN,MAGDALENA,3540,1689,47.71186441
1180,ZARAGOZA,ANTIOQUIA,5448,2193,40.25330396
1181,ZARZAL,VALLE DEL CAUCA,16491,3937,23.87362804
1182,ZETAQUIRA,BOYACA,1905,1026,53.85826772
1183,ZIPACON,CUNDINAMARCA,2388,1274,53.35008375
1184,ZIPAQUIRA,CUNDINAMARCA,43701,14605,33.42028787
1185,ZONA BANANERA,MAGDALENA,17214,4067,23.62611828
