CODIGO DANE,DEPARTAMENTO,MUNICIPIO,PERSONAS EXPULSADAS,PERSONAS RECIBIDAS,PERSONAS DECLARADAS
5480,ANTIOQUIA,MUTATA,39326,23652,26034
5483,ANTIOQUIA,NARI„O,18664,6503,9042
5591,ANTIOQUIA,PUERTO TRIUNFO,2034,5333,6201
73319,TOLIMA,GUAMO,2148,757,537
73347,TOLIMA,HERVEO,2174,471,460
73675,TOLIMA,SAN ANTONIO,11762,994,1766
63111,QUINDIO,BUENAVISTA,79,496,469
73563,TOLIMA,PRADO,7119,2021,3107
70820,SUCRE,SANTIAGO DE TOLU,3119,2988,3334
76001,VALLE DEL CAUCA,CALI,22466,156534,143838
76036,VALLE DEL CAUCA,ANDALUCIA,1056,631,434
63302,QUINDIO,GENOVA,3247,1659,1673
68549,SANTANDER,PINCHOTE,46,43,53
85263,CASANARE,PORE,2608,859,1303
85315,CASANARE,SACAMA,1164,835,1050
85410,CASANARE,TAURAMENA,3712,2688,2602
85440,CASANARE,VILLANUEVA,3612,3091,3037
68682,SANTANDER,SAN JOAQUIN,192,68,55
66383,RISARALDA,LA CELIA,961,726,812
66400,RISARALDA,LA VIRGINIA,1526,3976,3530
66456,RISARALDA,MISTRATO,5527,1641,1645
66687,RISARALDA,SANTUARIO,3736,2796,2920
68051,SANTANDER,ARATOCA,120,101,104
68101,SANTANDER,BOLIVAR,4336,533,1092
68132,SANTANDER,CALIFORNIA,125,35,17
68160,SANTANDER,CEPITA,242,9,5
68167,SANTANDER,CHARALA,440,311,258
68255,SANTANDER,EL PLAYON,5107,3669,3908
68298,SANTANDER,GAMBITA,469,17,22
68370,SANTANDER,JORDAN,39,31,10
99624,VICHADA,SANTA ROSALIA,805,252,253
76233,VALLE DEL CAUCA,DAGUA,11698,10641,12108
76563,VALLE DEL CAUCA,PRADERA,6496,5422,5855
76403,VALLE DEL CAUCA,LA VICTORIA,835,531,481
91460,AMAZONAS,MIRITI - PARANA,43,42,14
94883,GUAINIA,SAN FELIPE,202,14,2
94888,GUAINIA,MORICHAL,148,19,
76670,VALLE DEL CAUCA,SAN PEDRO,3549,3734,4245
76834,VALLE DEL CAUCA,TULUA,24528,29329,28972
23675,CORDOBA,SAN BERNARDO DEL VIENTO,3684,1846,1502
23678,CORDOBA,SAN CARLOS,1185,2068,1629
23682,CORDOBA,SAN JOSE DE URE,5912,5686,5815
23068,CORDOBA,AYAPEL,8517,4902,4276
20400,CESAR,LA JAGUA DE IBIRICO,17418,7884,8855
81065,ARAUCA,ARAUQUITA,20588,8872,8855
23300,CORDOBA,COTORRA,301,1956,1902
20250,CESAR,EL PASO,6210,3180,3692
15814,BOYACA,TOCA,11,47,48
17442,CALDAS,MARMATO,515,116,127
17616,CALDAS,RISARALDA,813,795,718
19845,CAUCA,VILLA RICA,277,960,1050
20001,CESAR,VALLEDUPAR,86188,138069,136667
20013,CESAR,AGUSTIN CODAZZI,45079,27648,29508
19300,CAUCA,GUACHENE,197,364,309
19364,CAUCA,JAMBALO,2825,1551,1625
19455,CAUCA,MIRANDA,6746,5767,5140
15401,BOYACA,LA VICTORIA,58,14,14
15455,BOYACA,MIRAFLORES,771,624,861
15464,BOYACA,MONGUA,215,137,115
15511,BOYACA,PACHAVITA,14,32,42
15537,BOYACA,PAZ DE RIO,73,53,34
15377,BOYACA,LABRANZAGRANDE,1380,152,176
19022,CAUCA,ALMAGUER,4790,231,193
19050,CAUCA,ARGELIA,23640,3581,3332
19075,CAUCA,BALBOA,9559,1314,1192
19110,CAUCA,BUENOS AIRES,17829,7356,9195
15599,BOYACA,RAMIRIQUI,128,129,175
15690,BOYACA,SANTA MARIA,257,211,200
15761,BOYACA,SOMONDOCO,77,86,75
15763,BOYACA,SOTAQUIRA,25,57,44
15790,BOYACA,TASCO,74,98,116
15804,BOYACA,TIBANA,53,16,15
27615,CHOCO,RIOSUCIO,94876,20963,29597
27660,CHOCO,SAN JOSE DEL PALMAR,7884,1181,1588
47189,MAGDALENA,CIENAGA,45579,18114,17110
27050,CHOCO,ATRATO,3479,578,1538
27099,CHOCO,BOJAYA,32057,9040,13999
27450,CHOCO,MEDIO SAN JUAN,7033,2898,5591
25086,CUNDINAMARCA,BELTRAN,509,193,200
25095,CUNDINAMARCA,BITUIMA,313,40,51
25175,CUNDINAMARCA,CHIA,105,2923,2799
25181,CUNDINAMARCA,CHOACHI,83,211,200
25053,CUNDINAMARCA,ARBELAEZ,1037,586,610
25328,CUNDINAMARCA,GUAYABAL DE SIQUIMA,852,284,285
25335,CUNDINAMARCA,GUAYABETAL,1252,692,1069
25386,CUNDINAMARCA,LA MESA,825,1373,1327
25596,CUNDINAMARCA,QUIPILE,1821,249,439
25718,CUNDINAMARCA,SASAIMA,696,711,581
25743,CUNDINAMARCA,SILVANIA,3401,2070,1906
25488,CUNDINAMARCA,NILO,80,355,328
25518,CUNDINAMARCA,PAIME,1054,145,270
41349,HUILA,HOBO,1107,766,805
41770,HUILA,SUAZA,2192,4120,4070
41872,HUILA,VILLAVIEJA,1003,446,424
25815,CUNDINAMARCA,TOCAIMA,679,347,278
25871,CUNDINAMARCA,VILLAGOMEZ,517,123,306
25875,CUNDINAMARCA,VILLETA,1111,737,611
52506,NARI„O,OSPINA,46,100,66
52565,NARI„O,PROVIDENCIA,644,1209,1233
52621,NARI„O,ROBERTO PAYAN,12075,3362,3411
52260,NARI„O,EL TAMBO,1221,2116,1813
52323,NARI„O,GUALMATAN,42,94,84
52427,NARI„O,MAGUI,7869,2710,2735
47555,MAGDALENA,PLATO,23825,18075,20120
47692,MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,1498,465,266
50370,META,URIBE,8980,926,950
54313,NORTE DE SANTANDER,GRAMALOTE,460,184,104
54347,NORTE DE SANTANDER,HERRAN,286,240,234
54498,NORTE DE SANTANDER,OCA„A,12109,30722,28109
54720,NORTE DE SANTANDER,SARDINATA,14323,5673,6884
5736,ANTIOQUIA,SEGOVIA,14346,4406,3352
5854,ANTIOQUIA,VALDIVIA,8873,6419,4103
8638,ATLANTICO,SABANALARGA,1021,3997,3074
13006,BOLIVAR,ACHI,19377,3855,4410
52227,NARI„O,CUMBAL,1283,977,917
5660,ANTIOQUIA,SAN LUIS,30029,16872,21148
5665,ANTIOQUIA,SAN PEDRO DE URABA,28871,20277,24799
13268,BOLIVAR,EL PE„ON,2257,1149,1257
5113,ANTIOQUIA,BURITICA,6597,4100,4121
15047,BOYACA,AQUITANIA,860,455,458
15051,BOYACA,ARCABUCO,4,108,122
15097,BOYACA,BOAVITA,106,20,19
15180,BOYACA,CHISCAS,597,68,184
15223,BOYACA,CUBARA,637,769,819
15224,BOYACA,CUCAITA,16,11,8
15236,BOYACA,CHIVOR,309,71,135
15296,BOYACA,GAMEZA,66,50,45
15317,BOYACA,GUACAMAYAS,69,11,5
5154,ANTIOQUIA,CAUCASIA,21558,20613,20125
5631,ANTIOQUIA,SABANETA,363,2291,2199
5652,ANTIOQUIA,SAN FRANCISCO,16778,6504,7940
68770,SANTANDER,SUAITA,524,363,320
68780,SANTANDER,SURATA,2149,465,836
70508,SUCRE,OVEJAS,44433,16801,18309
5234,ANTIOQUIA,DABEIBA,38523,15068,16784
5368,ANTIOQUIA,JERICO,277,370,345
5467,ANTIOQUIA,MONTEBELLO,4461,1528,1980
5495,ANTIOQUIA,NECHI,13325,8228,8072
5501,ANTIOQUIA,OLAYA,400,209,297
5576,ANTIOQUIA,PUEBLORRICO,1429,308,408
5585,ANTIOQUIA,PUERTO NARE,2480,2672,1927
5607,ANTIOQUIA,RETIRO,675,2070,1915
73461,TOLIMA,MURILLO,2235,378,517
70702,SUCRE,SAN JUAN DE BETULIA,1936,1357,1095
70708,SUCRE,SAN MARCOS,4561,3944,3125
76041,VALLE DEL CAUCA,ANSERMANUEVO,922,1085,863
63212,QUINDIO,CORDOBA,1073,976,635
68385,SANTANDER,LANDAZURI,4797,2829,2714
68500,SANTANDER,OIBA,174,323,308
68502,SANTANDER,ONZAGA,345,74,49
68533,SANTANDER,PARAMO,25,20,45
68572,SANTANDER,PUENTE NACIONAL,334,213,236
68573,SANTANDER,PUERTO PARRA,2825,2143,2446
85010,CASANARE,AGUAZUL,5449,3221,2986
85225,CASANARE,NUNCHIA,1736,615,529
85300,CASANARE,SABANALARGA,292,365,473
86001,PUTUMAYO,MOCOA,9951,34200,37314
68655,SANTANDER,SABANA DE TORRES,9011,3531,3495
68673,SANTANDER,SAN BENITO,271,36,43
68686,SANTANDER,SAN MIGUEL,155,14,18
81794,ARAUCA,TAME,48198,21986,21793
20228,CESAR,CURUMANI,27081,13608,18337
17873,CALDAS,VILLAMARIA,848,1978,2053
18094,CAQUETA,BELEN DE LOS ANDAQUIES,9456,5478,5427
15835,BOYACA,TURMEQUE,11,15,14
17050,CALDAS,ARANZAZU,679,492,562
17272,CALDAS,FILADELFIA,751,260,184
17388,CALDAS,LA MERCED,1017,328,561
17446,CALDAS,MARULANDA,1834,556,894
17513,CALDAS,PACORA,1554,372,390
17867,CALDAS,VICTORIA,1181,928,479
20175,CESAR,CHIMICHAGUA,10202,4522,4251
19290,CAUCA,FLORENCIA,1318,1166,1071
19397,CAUCA,LA VEGA,10748,515,305
19533,CAUCA,PIAMONTE,8508,1889,1652
15407,BOYACA,VILLA DE LEYVA,1,280,262
15476,BOYACA,MOTAVITA,11,18,25
15491,BOYACA,NOBSA,45,329,331
15514,BOYACA,PAEZ,1767,1031,1094
18753,CAQUETA,SAN VICENTE DEL CAGUAN,45600,9053,8624
19212,CAUCA,CORINTO,6635,2333,3187
15696,BOYACA,SANTA SOFIA,21,30,26
15740,BOYACA,SIACHOQUE,11,12,3
27600,CHOCO,RIO QUITO,3989,1778,1605
27787,CHOCO,TADO,13112,7108,7512
27800,CHOCO,UNGUIA,19078,10396,11077
47053,MAGDALENA,ARACATACA,24209,11476,11874
47258,MAGDALENA,EL PI„ON,10707,3034,7558
44650,LA GUAJIRA,SAN JUAN DEL CESAR,19261,16287,15325
44874,LA GUAJIRA,VILLANUEVA,11288,7387,8053
27075,CHOCO,BAHIA SOLANO,3401,5444,5465
25148,CUNDINAMARCA,CAPARRAPI,6831,2192,3716
25183,CUNDINAMARCA,CHOCONTA,101,391,431
25288,CUNDINAMARCA,FUQUENE,13,35,27
25290,CUNDINAMARCA,FUSAGASUGA,2238,10844,10620
25307,CUNDINAMARCA,GIRARDOT,638,3464,3360
25312,CUNDINAMARCA,GRANADA,158,478,450
25402,CUNDINAMARCA,LA VEGA,205,593,566
25426,CUNDINAMARCA,MACHETA,191,43,38
25483,CUNDINAMARCA,NARI„O,70,19,12
25489,CUNDINAMARCA,NIMAIMA,369,175,212
25524,CUNDINAMARCA,PANDI,1514,299,281
25572,CUNDINAMARCA,PUERTO SALGAR,625,1787,1559
41396,HUILA,LA PLATA,6175,5175,5079
41483,HUILA,NATAGA,1477,310,319
41551,HUILA,PITALITO,9082,31457,30367
44035,LA GUAJIRA,ALBANIA,1761,3430,4144
25799,CUNDINAMARCA,TENJO,33,586,570
25807,CUNDINAMARCA,TIBIRITA,53,84,76
25823,CUNDINAMARCA,TOPAIPI,3068,885,1169
25867,CUNDINAMARCA,VIANI,622,114,170
52573,NARI„O,PUERRES,506,731,710
52250,NARI„O,EL CHARCO,37440,23110,25082
52254,NARI„O,EL PE„OL,1188,865,889
52256,NARI„O,EL ROSARIO,8498,4032,4297
52378,NARI„O,LA CRUZ,2837,1912,1837
52385,NARI„O,LA LLANADA,2341,2041,2089
52411,NARI„O,LINARES,2783,2353,2282
47570,MAGDALENA,PUEBLOVIEJO,8376,3813,5170
47703,MAGDALENA,SAN ZENON,503,173,110
50287,META,FUENTE DE ORO,2215,2425,2282
50318,META,GUAMAL,877,1122,1010
50350,META,LA MACARENA,11286,1897,1902
50400,META,LEJANIAS,8884,3564,2988
50006,META,ACACIAS,4222,13012,13187
50124,META,CABUYARO,513,600,548
54377,NORTE DE SANTANDER,LABATECA,341,114,148
54398,NORTE DE SANTANDER,LA PLAYA,6081,2674,3557
54520,NORTE DE SANTANDER,PAMPLONITA,72,70,30
54680,NORTE DE SANTANDER,SANTIAGO,198,60,95
50683,META,SAN JUAN DE ARAMA,7627,3426,3472
5809,ANTIOQUIA,TITIRIBI,600,386,337
5847,ANTIOQUIA,URRAO,39058,22231,27683
8520,ATLANTICO,PALMAR DE VARELA,140,3251,2549
8560,ATLANTICO,PONEDERA,215,2160,1385
8685,ATLANTICO,SANTO TOMAS,198,3478,3291
8001,ATLANTICO,BARRANQUILLA,7000,126869,127340
8296,ATLANTICO,GALAPA,534,4046,3249
5670,ANTIOQUIA,SAN ROQUE,8737,5014,6073
13212,BOLIVAR,CORDOBA,28140,5439,14173
13222,BOLIVAR,CLEMENCIA,1522,1330,1305
13244,BOLIVAR,EL CARMEN DE BOLIVAR,124392,55081,64853
5045,ANTIOQUIA,APARTADO,72271,79245,117182
5093,ANTIOQUIA,BETULIA,19197,11516,12939
13160,BOLIVAR,CANTAGALLO,12991,2116,1798
13683,BOLIVAR,SANTA ROSA,11472,6491,3810
13744,BOLIVAR,SIMITI,18157,5710,6877
13760,BOLIVAR,SOPLAVIENTO,291,242,229
13836,BOLIVAR,TURBACO,3394,5724,5899
15022,BOYACA,ALMEIDA,41,21,10
15204,BOYACA,COMBITA,20,43,57
15212,BOYACA,COPER,96,52,66
15293,BOYACA,GACHANTIVA,16,42,48
15299,BOYACA,GARAGOA,229,493,435
5125,ANTIOQUIA,CAICEDO,3143,838,672
5129,ANTIOQUIA,CALDAS,1549,3933,3135
68855,SANTANDER,VALLE DE SAN JOSE,87,173,193
68861,SANTANDER,VELEZ,801,822,665
68867,SANTANDER,VETAS,80,30,8
70204,SUCRE,COLOSO,24024,4964,5266
70215,SUCRE,COROZAL,3461,30378,29488
70235,SUCRE,GALERAS,6723,5628,6118
5206,ANTIOQUIA,CONCEPCION,3143,1437,1758
5282,ANTIOQUIA,FREDONIA,715,957,650
5284,ANTIOQUIA,FRONTINO,15750,10227,11428
5310,ANTIOQUIA,GOMEZ PLATA,798,537,536
5360,ANTIOQUIA,ITAGUI,4831,18142,14783
5579,ANTIOQUIA,PUERTO BERRIO,8164,3527,2996
76109,VALLE DEL CAUCA,BUENAVENTURA,241685,181084,181133
73024,TOLIMA,ALPUJARRA,1580,284,267
73055,TOLIMA,ARMERO,1717,1185,995
73124,TOLIMA,CAJAMARCA,5894,2782,2673
73148,TOLIMA,CARMEN DE APICALA,288,662,680
73217,TOLIMA,COYAIMA,12400,839,997
73352,TOLIMA,ICONONZO,4830,1015,1758
73443,TOLIMA,SAN SEBASTIAN DE MARIQUITA,2294,2398,2225
54874,NORTE DE SANTANDER,VILLA DEL ROSARIO,2382,6797,5859
70713,SUCRE,SAN ONOFRE,48266,24437,29117
70717,SUCRE,SAN PEDRO,3923,5534,4604
76020,VALLE DEL CAUCA,ALCALA,766,1381,1245
63470,QUINDIO,MONTENEGRO,799,5298,4385
68432,SANTANDER,MALAGA,1233,1016,1159
68444,SANTANDER,MATANZA,2432,736,849
68547,SANTANDER,PIEDECUESTA,1529,12617,10821
86219,PUTUMAYO,COLON,570,1480,1561
66075,RISARALDA,BALBOA,496,1129,1018
66594,RISARALDA,QUINCHIA,12243,3179,5542
68092,SANTANDER,BETULIA,1514,209,150
68121,SANTANDER,CABRERA,25,29,11
68147,SANTANDER,CAPITANEJO,947,106,114
68169,SANTANDER,CHARTA,527,68,96
68209,SANTANDER,CONFINES,73,65,74
68217,SANTANDER,COROMORO,670,164,234
68235,SANTANDER,EL CARMEN DE CHUCURI,5242,1186,1666
68296,SANTANDER,GALAN,347,152,172
68322,SANTANDER,GUAPOTA,46,17,11
95025,GUAVIARE,EL RETORNO,12740,1841,1762
97001,VAUPES,MITU,7709,5036,5852
97889,VAUPES,YAVARATE,33,67,16
99773,VICHADA,CUMARIBO,16086,1756,1464
76246,VALLE DEL CAUCA,EL CAIRO,1493,690,597
76520,VALLE DEL CAUCA,PALMIRA,6008,11654,10827
76622,VALLE DEL CAUCA,ROLDANILLO,2590,1955,1885
86571,PUTUMAYO,PUERTO GUZMAN,30954,3639,3301
88001,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",SAN ANDRES,80,286,241
23807,CORDOBA,TIERRALTA,106605,43229,41206
20621,CESAR,LA PAZ,14044,10125,10916
20710,CESAR,SAN ALBERTO,8244,2471,2597
23079,CORDOBA,BUENAVISTA,4320,2603,2571
23090,CORDOBA,CANALETE,7395,2767,3196
23855,CORDOBA,VALENCIA,36080,24361,23946
20550,CESAR,PELAYA,12188,7191,8323
20570,CESAR,PUEBLO BELLO,12992,6412,7686
76869,VALLE DEL CAUCA,VIJES,251,387,309
76892,VALLE DEL CAUCA,YUMBO,1444,7468,7660
23555,CORDOBA,PLANETA RICA,8657,12223,11267
23586,CORDOBA,PURISIMA,404,894,824
23189,CORDOBA,CIENAGA DE ORO,1242,2071,1898
20178,CESAR,CHIRIGUANA,12161,7908,11520
18205,CAQUETA,CURILLO,19963,3527,4562
17444,CALDAS,MARQUETALIA,6796,4923,6295
17614,CALDAS,RIOSUCIO,9565,4287,5457
17662,CALDAS,SAMANA,45535,21851,27003
17665,CALDAS,SAN JOSE,375,388,573
19760,CAUCA,SOTARA,2019,247,181
19780,CAUCA,SUAREZ,19587,14444,16009
19256,CAUCA,EL TAMBO,31773,6704,7557
19318,CAUCA,GUAPI,16790,13433,11511
19392,CAUCA,LA SIERRA,3262,365,344
19532,CAUCA,PATIA,13600,3771,3413
15403,BOYACA,LA UVITA,100,7,19
15572,BOYACA,PUERTO BOYACA,5062,3309,2791
19001,CAUCA,POPAYAN,6324,110550,115066
19130,CAUCA,CAJIBIO,13071,1643,1914
15632,BOYACA,SABOYA,53,30,24
15664,BOYACA,SAN JOSE DE PARE,72,206,214
15673,BOYACA,SAN MATEO,499,32,32
15676,BOYACA,SAN MIGUEL DE SEMA,6,40,38
15693,BOYACA,SANTA ROSA DE VITERBO,44,251,212
15755,BOYACA,SOCOTA,712,108,84
15762,BOYACA,SORA,3,5,5
15764,BOYACA,SORACA,11,36,29
27745,CHOCO,SIPI,4445,1592,2145
44855,LA GUAJIRA,URUMITA,3235,3545,3318
27160,CHOCO,CERTEGUI,550,457,473
27425,CHOCO,MEDIO ATRATO,10401,1344,1913
27430,CHOCO,MEDIO BAUDO,9026,4188,4392
27491,CHOCO,NOVITA,5052,667,832
44078,LA GUAJIRA,BARRANCAS,5762,5830,5548
44378,LA GUAJIRA,HATONUEVO,925,2417,2047
25154,CUNDINAMARCA,CARMEN DE CARUPA,40,76,78
25245,CUNDINAMARCA,EL COLEGIO,1108,1017,965
25258,CUNDINAMARCA,EL PE„ON,2818,974,1292
25269,CUNDINAMARCA,FACATATIVA,377,6432,6307
25368,CUNDINAMARCA,JERUSALEN,421,34,22
25398,CUNDINAMARCA,LA PE„A,1551,361,669
41132,HUILA,CAMPOALEGRE,3422,4556,4261
41206,HUILA,COLOMBIA,9258,2583,2597
41524,HUILA,PALERMO,1915,2656,2594
41548,HUILA,PITAL,761,1069,1131
41791,HUILA,TARQUI,2531,3261,3288
41885,HUILA,YAGUARA,176,589,623
44001,LA GUAJIRA,RIOHACHA,39344,65587,68929
25785,CUNDINAMARCA,TABIO,31,343,368
25793,CUNDINAMARCA,TAUSA,22,30,99
25885,CUNDINAMARCA,YACOPI,6573,1507,2872
52685,NARI„O,SAN BERNARDO,637,414,414
52694,NARI„O,SAN PEDRO DE CARTAGO,241,258,317
52352,NARI„O,ILES,86,509,500
52356,NARI„O,IPIALES,5754,9784,9683
52435,NARI„O,MALLAMA,1597,994,885
52835,NARI„O,SAN ANDRES DE TUMACO,123385,97541,102750
52838,NARI„O,TUQUERRES,874,1478,1576
54051,NORTE DE SANTANDER,ARBOLEDAS,1911,335,576
47960,MAGDALENA,ZAPAYAN,3374,819,2630
47980,MAGDALENA,ZONA BANANERA,43218,13188,21007
50110,META,BARRANCA DE UPIA,628,1026,1060
50150,META,CASTILLA LA NUEVA,678,1069,1085
54800,NORTE DE SANTANDER,TEORAMA,17305,7041,8453
5761,ANTIOQUIA,SOPETRAN,1267,981,834
5789,ANTIOQUIA,TAMESIS,1893,655,714
8433,ATLANTICO,MALAMBO,1039,14733,10721
8832,ATLANTICO,TUBARA,189,508,399
13001,BOLIVAR,CARTAGENA,15799,128318,113808
5895,ANTIOQUIA,ZARAGOZA,15752,6606,5935
8372,ATLANTICO,JUAN DE ACOSTA,74,626,464
8421,ATLANTICO,LURUACO,763,917,826
52051,NARI„O,ARBOLEDA,421,817,925
52110,NARI„O,BUESACO,2242,2924,1807
13442,BOLIVAR,MARIA LA BAJA,32304,18644,18957
13458,BOLIVAR,MONTECRISTO,27527,7343,9490
13549,BOLIVAR,PINILLOS,8104,3167,2293
5042,ANTIOQUIA,SANTAFE DE ANTIOQUIA,3674,2347,2460
5079,ANTIOQUIA,BARBOSA,4179,4863,4252
5002,ANTIOQUIA,ABEJORRAL,9703,4153,4057
5036,ANTIOQUIA,ANGELOPOLIS,1697,876,1133
13838,BOLIVAR,TURBANA,674,251,217
13873,BOLIVAR,VILLANUEVA,6230,3040,3350
15172,BOYACA,CHINAVITA,115,146,115
15238,BOYACA,DUITAMA,301,2603,2595
15244,BOYACA,EL COCUY,348,34,22
5628,ANTIOQUIA,SABANALARGA,5777,3874,4719
68820,SANTANDER,TONA,531,179,144
70400,SUCRE,LA UNION,414,392,312
70670,SUCRE,SAMPUES,1422,4500,3573
70230,SUCRE,CHALAN,9498,2847,3774
70265,SUCRE,GUARANDA,5829,8762,8154
5250,ANTIOQUIA,EL BAGRE,40195,17562,17793
5313,ANTIOQUIA,GRANADA,34136,9046,19772
5347,ANTIOQUIA,HELICONIA,1987,768,1042
5353,ANTIOQUIA,HISPANIA,291,282,316
5364,ANTIOQUIA,JARDIN,1300,746,759
5376,ANTIOQUIA,LA CEJA,2183,6488,6328
5425,ANTIOQUIA,MACEO,2618,1242,1833
5440,ANTIOQUIA,MARINILLA,3899,9945,9766
5541,ANTIOQUIA,PE„OL,5639,3539,3943
5615,ANTIOQUIA,RIONEGRO,1952,14893,13884
73270,TOLIMA,FALAN,2015,354,429
73449,TOLIMA,MELGAR,403,2816,2646
54820,NORTE DE SANTANDER,TOLEDO,1441,606,466
73770,TOLIMA,SUAREZ,214,121,86
73873,TOLIMA,VILLARRICA,5329,439,441
76100,VALLE DEL CAUCA,BOLIVAR,4195,978,641
63690,QUINDIO,SALENTO,646,788,755
68406,SANTANDER,LEBRIJA,4958,6381,5449
68464,SANTANDER,MOGOTES,628,287,286
85139,CASANARE,MANI,4419,3339,3496
68615,SANTANDER,RIONEGRO,7664,2384,2209
68705,SANTANDER,SANTA BARBARA,267,18,6
85001,CASANARE,YOPAL,8071,23025,25303
68245,SANTANDER,EL GUACAMAYO,188,57,60
68324,SANTANDER,GUAVATA,231,35,35
68344,SANTANDER,HATO,603,416,402
95015,GUAVIARE,CALAMAR,8767,1610,1589
99524,VICHADA,LA PRIMAVERA,2351,1417,1336
76130,VALLE DEL CAUCA,CANDELARIA,917,4776,4716
76243,VALLE DEL CAUCA,EL AGUILA,1611,418,310
76306,VALLE DEL CAUCA,GINEBRA,1024,1225,1285
88564,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA,7,7,6
91001,AMAZONAS,LETICIA,1022,2058,2302
91407,AMAZONAS,LA PEDRERA,118,28,16
23686,CORDOBA,SAN PELAYO,2385,5660,4991
20787,CESAR,TAMALAMEQUE,3085,1906,1822
20310,CESAR,GONZALEZ,589,698,694
20383,CESAR,LA GLORIA,6629,2961,3516
76890,VALLE DEL CAUCA,YOTOCO,565,911,990
76895,VALLE DEL CAUCA,ZARZAL,1587,1805,1798
81001,ARAUCA,ARAUCA,16839,26878,27173
23670,CORDOBA,SAN ANDRES SOTAVENTO,3788,2829,2569
18247,CAQUETA,EL DONCELLO,12277,5578,4957
15816,BOYACA,TOGUI,66,82,75
15839,BOYACA,TUTAZA,109,14,22
15879,BOYACA,VIRACACHA,6,21,21
17380,CALDAS,LA DORADA,3801,6814,8283
19807,CAUCA,TIMBIO,5293,5163,4097
19418,CAUCA,LOPEZ,19909,8840,8857
19513,CAUCA,PADILLA,306,200,165
15518,BOYACA,PAJARITO,822,592,1348
15522,BOYACA,PANQUEBA,79,2,
19701,CAUCA,SANTA ROSA,5730,599,1021
15322,BOYACA,GUATEQUE,178,242,222
18785,CAQUETA,SOLITA,13320,3338,3934
19142,CAUCA,CALOTO,8007,6196,6120
15621,BOYACA,RONDON,61,54,50
15686,BOYACA,SANTANA,146,171,127
15723,BOYACA,SATIVASUR,21,13,11
41001,HUILA,NEIVA,14310,67281,68582
44430,LA GUAJIRA,MAICAO,12590,14370,11057
44560,LA GUAJIRA,MANAURE,859,1372,949
27150,CHOCO,CARMEN DEL DARIEN,15800,4827,4883
27205,CHOCO,CONDOTO,5877,4971,3881
25126,CUNDINAMARCA,CAJICA,103,1163,1085
25260,CUNDINAMARCA,EL ROSAL,38,1153,1110
25279,CUNDINAMARCA,FOMEQUE,220,149,152
25286,CUNDINAMARCA,FUNZA,100,2742,2398
25295,CUNDINAMARCA,GACHANCIPA,13,442,458
25317,CUNDINAMARCA,GUACHETA,79,1048,1152
25372,CUNDINAMARCA,JUNIN,376,48,43
25658,CUNDINAMARCA,SAN FRANCISCO,124,920,907
25662,CUNDINAMARCA,SAN JUAN DE RIO SECO,2745,711,831
25758,CUNDINAMARCA,SOPO,63,350,294
25580,CUNDINAMARCA,PULI,1569,193,392
47288,MAGDALENA,FUNDACION,49092,39847,34565
41026,HUILA,ALTAMIRA,273,514,505
41244,HUILA,ELIAS,125,247,237
41378,HUILA,LA ARGENTINA,2063,1919,1951
41615,HUILA,RIVERA,1546,2347,1972
41668,HUILA,SAN AGUSTIN,5260,3138,3153
41807,HUILA,TIMANA,1348,2019,1910
25841,CUNDINAMARCA,UBAQUE,231,146,84
25843,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,98,935,1046
25845,CUNDINAMARCA,UNE,421,282,336
52473,NARI„O,MOSQUERA,2941,1395,1272
52683,NARI„O,SANDONA,1362,2946,2929
54172,NORTE DE SANTANDER,CHINACOTA,365,958,916
54174,NORTE DE SANTANDER,CHITAGA,724,144,196
25899,CUNDINAMARCA,ZIPAQUIRA,120,1765,1514
27001,CHOCO,QUIBDO,42642,85361,79424
27006,CHOCO,ACANDI,16009,11394,11730
52258,NARI„O,EL TABLON DE GOMEZ,8309,3228,5341
52317,NARI„O,GUACHUCAL,218,112,124
52354,NARI„O,IMUES,94,371,386
52405,NARI„O,LEIVA,7533,2570,2617
52418,NARI„O,LOS ANDES,6202,7230,7565
47551,MAGDALENA,PIVIJAY,44554,12814,19094
47707,MAGDALENA,SANTA ANA,2056,1038,835
47745,MAGDALENA,SITIONUEVO,22591,5540,6440
50313,META,GRANADA,6365,18416,17164
50330,META,MESETAS,12788,1678,1761
50450,META,PUERTO CONCORDIA,10487,4073,3642
50577,META,PUERTO LLERAS,10532,1828,2236
50226,META,CUMARAL,1771,4542,4546
54250,NORTE DE SANTANDER,EL TARRA,20269,9381,11280
52699,NARI„O,SANTACRUZ,4003,1040,941
52786,NARI„O,TAMINANGO,2106,12854,12675
5819,ANTIOQUIA,TOLEDO,3824,1697,1967
5858,ANTIOQUIA,VEGACHI,5453,2113,2299
5890,ANTIOQUIA,YOLOMBO,6768,2497,3244
52210,NARI„O,CONTADERO,94,130,99
5667,ANTIOQUIA,SAN RAFAEL,23166,10765,15236
5690,ANTIOQUIA,SANTO DOMINGO,4669,2173,2294
13248,BOLIVAR,EL GUAMO,4719,1210,2648
13430,BOLIVAR,MAGANGUE,16289,48000,42686
