CODIGO DANE,DEPARTAMENTO,MUNICIPIO,PERSONAS EXPULSADAS,PERSONAS RECIBIDAS,PERSONAS DECLARADAS
68318,SANTANDER,GUACA,679,50,37
68368,SANTANDER,JESUS MARIA,173,46,32
68377,SANTANDER,LA BELLEZA,1577,311,280
97666,VAUPES,TARAIRA,136,40,60
97777,VAUPES,PAPUNAUA,68,3,8
76147,VALLE DEL CAUCA,CARTAGO,1991,5491,4707
76616,VALLE DEL CAUCA,RIOFRIO,4092,3544,4292
76497,VALLE DEL CAUCA,OBANDO,634,847,713
86755,PUTUMAYO,SAN FRANCISCO,1169,1621,1851
86865,PUTUMAYO,VALLE DEL GUAMUEZ,44241,12982,14105
91536,AMAZONAS,PUERTO ARICA,172,13,
91540,AMAZONAS,PUERTO NARI„O,46,28,13
91669,AMAZONAS,PUERTO SANTANDER,350,9,
91798,AMAZONAS,TARAPACA,132,64,13
76823,VALLE DEL CAUCA,TORO,1018,753,620
20614,CESAR,RIO DE ORO,1866,1540,1564
20770,CESAR,SAN MARTIN,4883,3960,4136
23660,CORDOBA,SAHAGUN,2175,5153,4474
23182,CORDOBA,CHINU,2144,2538,2660
15820,BOYACA,TOPAGA,19,29,48
15842,BOYACA,UMBITA,79,109,15
17013,CALDAS,AGUADAS,3393,1884,1849
17433,CALDAS,MANZANARES,2770,3937,2248
17777,CALDAS,SUPIA,1648,1958,1460
20045,CESAR,BECERRIL,16283,10420,10174
20060,CESAR,BOSCONIA,10379,14287,15845
19548,CAUCA,PIENDAMO,2199,3460,2956
19573,CAUCA,PUERTO TEJADA,1982,1192,1023
19622,CAUCA,ROSAS,3217,1685,1695
19693,CAUCA,SAN SEBASTIAN,3499,203,725
15531,BOYACA,PAUNA,650,262,252
19743,CAUCA,SILVIA,2169,562,437
15325,BOYACA,GUAYATA,140,87,71
18479,CAQUETA,MORELIA,3156,2041,2521
18592,CAQUETA,PUERTO RICO,25857,8448,8743
18860,CAQUETA,VALPARAISO,16105,4137,6462
15646,BOYACA,SAMACA,59,704,682
15681,BOYACA,SAN PABLO DE BORBUR,745,145,123
15753,BOYACA,SOATA,149,81,53
47058,MAGDALENA,ARIGUANI,7574,3968,3522
47205,MAGDALENA,CONCORDIA,3032,499,1317
27810,CHOCO,UNION PANAMERICANA,427,927,961
27250,CHOCO,EL LITORAL DEL SAN JUAN,12299,3873,3884
44098,LA GUAJIRA,DISTRACCION,1143,1045,1242
