censo,per_si,pc1_2009,despforz,victim,lndespforz,lnvictim,Id_mun
6271,74.91803279,-0.860522449,275,,5.616771221,,15442
7568,65.39433062,-1.005679846,349,3,5.855072021,1.098612309,15455
4003,23.98791541,-0.96521455,159,8,5.0689044,2.079441547,15464
3643,37.85714286,-1.060415506,11,,2.397895336,,15466
17452,51.92093097,-0.960363805,215,1,5.370637894,0,15469
4938,53.32216639,-1.060415506,5,,1.609437943,,15476
7195,36.8556701,-0.843227446,517,3,6.24804306,1.098612309,15480
11546,50.2303331,-1.060415506,31,19,3.433987141,2.944438934,15491
4608,63.95147314,-0.991265953,26,,3.258096457,,15494
2392,55.15041021,-1.060415506,0,,1,,15500
6406,44.04659189,-0.936495006,1015,0,6.922643661,1,15507
2001,49.7311828,-0.895952523,12,,2.484906673,,15511
2338,47.65157985,-0.650907636,1066,1,6.97166872,0,15514
24543,55.97575319,-1.044723988,21,1,3.044522524,0,15516
1713,36.96682464,0.119633824,518,10,6.249975204,2.302585125,15518
1605,45.96774194,-1.060415506,49,,3.891820192,,15522
6712,65.475678,-1.002457619,413,,6.023447514,,15531
1406,45.51920341,-0.633166254,304,40,5.717027664,3.68887949,15533
4373,66.40949555,-1.060415506,56,3,4.025351524,1.098612309,15537
6418,40.09034444,-1.056452036,111,,4.709530354,,15542
1021,43.23725055,-0.711216688,251,29,5.525453091,3.367295742,15550
35230,30.76147252,-0.790029645,2811,4,7.941295624,1.386294365,15572
4928,37.40458015,-0.790348768,239,,5.476463318,,15580
8601,53.64068789,-1.055036187,120,,4.787491798,,15599
4570,48.91956783,-0.99348253,0,,1,,15600
2283,52.40223464,-1.057202935,39,1,3.663561583,0,15621
9555,64.24485126,-1.021817803,43,1,3.76120019,0,15632
3320,52.94117647,-0.947324872,2,,0.693147182,,15638
13405,50.03203075,-0.990222812,31,,3.433987141,,15646
1463,63.91752577,-1.060415506,124,1,4.820281506,0,15660
5295,52.84916201,-0.978712559,65,,4.174387455,,15664
4488,36.11270845,-0.968126297,442,,6.091310024,,15667
3636,33.82352941,-1.042240977,394,,5.976350784,,15673
2760,48.25964252,-1.060415506,6,,1.791759491,,15676
5810,31.91256831,-1.00954318,465,12,6.142037392,2.484906673,15681
6831,51.68224299,-1.059183717,96,3,4.564348221,1.098612309,15686
3309,39.76124885,-0.931755483,166,1,5.111987591,0,15690
8045,42.82956426,-1.027905226,37,,3.610917807,,15693
3068,61.89111748,-1.060415506,16,,2.77258873,,15696
2398,50.74829932,-0.892778933,51,2,3.931825638,0.693147182,15720
1227,53.09973046,-1.060415506,11,,2.397895336,,15723
6256,34.87225459,-1.057152748,11,,2.397895336,,15740
7449,42.34782609,-1.060415506,106,0,4.663439274,1,15753
5922,39.45137157,-1.035986662,548,8,6.306275368,2.079441547,15755
6151,49.52132289,-1.059141517,167,14,5.117993832,2.639057398,15757
89443,49.26567135,-1.04052639,319,44,5.765191078,3.784189701,15759
,,-1.033786893,58,,4.060442924,,15761
2528,59.91266376,-0.770865381,3,,1.098612309,,15762
5413,51.51214675,-1.059336662,20,,2.995732307,,15763
5229,33.19874383,-1.060415506,9,1,2.197224617,0,15764
2580,63.09630963,-1.026411414,130,8,4.867534637,2.079441547,15774
5264,54.87154629,-1.060415506,12,,2.484906673,,15776
3682,48.03767661,-1.060415506,4,,1.386294365,,15778
4986,58.75160875,-0.86325562,53,,3.970291853,,15790
3555,63.45679012,-1.060415506,6,,1.791759491,,15798
7402,63.93762183,-1.060415506,21,,3.044522524,,15804
8412,52.22568755,-1.060415506,8,0,2.079441547,1,15806
2538,55.58487247,-1.060415506,0,,1,,15808
3353,51.71773445,-1.060415506,8,,2.079441547,,15810
6996,48.65934066,-1.060415506,2,6,0.693147182,1.791759491,15814
4284,55.72354212,-0.891344607,54,,3.988984108,,15816
2924,41.16331096,-0.942674339,15,,2.708050251,,15820
4105,35.02202643,-1.053598762,18,,2.890371799,,15822
1314,71.80685358,-1.036531925,44,,3.784189701,,15832
5703,67.14864083,-0.998480797,11,,2.397895336,,15835
7216,50.64292779,-1.013562441,15,,2.708050251,,15837
1841,54.42477876,-0.637717783,87,,4.465908051,,15839
5815,44.4646098,-1.060415506,71,,4.262680054,,15842
10912,48.11059908,-0.914249599,28,5,3.33220458,1.609437943,15861
2553,43.14465409,-1.060415506,6,2,1.791759491,0.693147182,15879
3874,65.79898771,-1.060415506,137,3,4.919981003,1.098612309,15897
323102,49.06651842,0.898303032,2554,244,7.845416069,5.497168064,17001
18854,29.1511818,-0.960184157,2210,77,7.700747967,4.343805313,17013
27896,31.11440757,-0.818552256,2588,104,7.858640671,4.64439106,17042
11540,39.50276243,-0.901946127,436,11,6.077642441,2.397895336,17050
10118,41.83476098,-0.558289826,249,15,5.517452717,2.708050251,17088
43763,36.97393592,-0.648210585,920,468,6.824373722,6.148468494,17174
9343,43.36086404,-0.84093225,509,18,6.232448101,2.890371799,17272
57740,33.75354246,-0.885139167,2410,53,7.787382126,3.970291853,17380
5641,43.87031408,-0.696040213,542,6,6.295266151,1.791759491,17388
15465,36.04391136,-0.777314305,1617,34,7.388328075,3.526360512,17433
6840,31.20825744,-0.748979449,235,13,5.459585667,2.564949274,17442
11445,37.43232792,-0.893427551,4440,9,8.398409843,2.197224617,17444
2658,49.74293059,-0.7558707,911,10,6.81454277,2.302585125,17446
19307,35.26413346,-0.903300881,973,50,6.880383968,3.912023067,17486
5865,43.45323741,-0.618789554,738,,6.603943825,,17495
12064,36.21052632,-0.877399921,1093,28,6.99668169,3.33220458,17513
14755,42.62557078,-0.762937367,435,43,6.075345993,3.76120019,17524
16734,32.19729406,-0.905619264,10809,73,9.288134575,4.290459633,17541
37633,41.94306247,-0.958723783,5670,528,8.642944336,6.269096375,17614
10761,32.18120805,-0.572529078,519,4,6.251904011,1.386294365,17616
15660,40.96150088,-1.007124901,2073,45,7.636752129,3.80666256,17653
16191,44.476055,-0.815810621,39011,2856,10.57159901,7.957177162,17662
4918,43.26388889,-0.87433672,231,,5.442417622,,17665
21254,32.57135128,-0.907896936,986,70,6.893656254,4.248495102,17777
8262,41.85656836,-0.73906517,670,7,6.507277489,1.945910096,17867
37945,43.23917574,-0.916252315,511,81,6.23636961,4.394449234,17873
12839,26.86888454,-0.817570984,313,16,5.746203423,2.77258873,17877
115892,38.55349516,1.02422595,27917,308,10.23699093,5.730099678,18001
3923,34.57653458,0.746164441,3687,9,8.212568283,2.197224617,18029
7573,39.96007984,-0.241328269,7234,816,8.886547089,6.704414368,18094
18805,73.75679064,1.596042752,31792,37212,10.36697006,10.52438641,18150
7604,40.93206064,1.576322675,16826,70,9.730680466,4.248495102,18205
15558,38.81578947,1.483589649,9633,96,9.172949791,4.564348221,18247
11865,44.56856703,0.000911996,8306,37,9.024733543,3.610917807,18256
10500,74.22380336,3.231995821,18922,515,9.848080635,6.244166851,18410
6861,55.97014925,1.687556386,12403,230,9.425693512,5.438079357,18460
3584,34.61538462,-0.359060287,2309,15,7.744569778,2.708050251,18479
18802,49.98108926,2.296740294,20450,117,9.925738335,4.762174129,18592
8875,39.64476021,1.916049242,12765,16,9.454462051,2.77258873,18610
31524,62.93283271,1.757594228,35223,208,10.46945477,5.337538242,18753
7754,76.60223805,1.374538302,11161,13,9.320180893,2.564949274,18756
5746,37.57763975,-0.289649874,11042,9,9.309461594,2.197224617,18785
6188,47.35120994,-0.666895151,13138,23,9.483263969,3.135494232,18860
225161,58.87313147,3.60596323,4429,510,8.395929337,6.234410763,19001
12511,83.44947735,-0.948099792,3020,18,8.013011932,2.890371799,19022
17783,88.54833791,4.854943275,16848,370,9.731987,5.91350317,19050
15693,85.8223429,-0.419201076,7459,31,8.917176247,3.433987141,19075
31054,65.37596802,0.187964216,12013,39,9.393744469,3.663561583,19100
15556,72.1532904,1.317549706,12966,74,9.470086098,4.304065228,19110
23310,71.08607741,0.955401599,9521,154,9.161254883,5.036952496,19130
20628,79.84013166,0.849068105,2256,275,7.721348763,5.616771221,19137
17687,72.9089104,1.425703049,5802,191,8.665958405,5.25227356,19142
17445,69.22701185,3.974257469,4110,2228,8.321178436,7.708859444,19212
34429,58.82615289,3.226844311,24348,349,10.10020542,5.855072021,19256
4576,74.63414634,-0.916569889,785,5,6.665683746,1.609437943,19290
12259,71.44083806,,,,,,19300
19182,93.09599068,1.127370358,8356,8,9.030735016,2.079441547,19318
16634,73.81535039,0.847486675,1742,16,7.462789059,2.77258873,19355
8072,86.27968338,-0.851872981,2224,34,7.707062721,3.526360512,19364
8829,60.71555083,-0.615074575,2172,40,7.683403492,3.68887949,19392
15137,77.40374924,-0.850607216,7402,60,8.909505844,4.094344616,19397
12401,93.7573616,1.200898767,13971,10,9.54473877,2.302585125,19418
13882,76.55677656,-0.125650212,5516,22,8.615407944,3.091042519,19450
18593,63.71348797,-0.899087787,3717,83,8.220672607,4.418840408,19455
18642,60.94559585,1.067819118,4391,14,8.387311935,2.639057398,19473
6631,75.0166113,-1.046800137,188,3,5.236442089,1.098612309,19513
19497,72.26243647,0.896291792,4993,13,8.515791893,2.564949274,19517
25540,72.09796326,4.082504749,10318,116,9.241644859,4.753590107,19532
5010,66.93548387,-0.45233795,6803,36,8.825119019,3.583518982,19533
26554,53.30396476,0.908497572,1257,100,7.136483192,4.60517025,19548
32002,67.29075764,-0.547965884,1225,938,7.110696316,6.84375,19573
8676,63.94736842,-0.782704771,1387,30,7.234898567,3.401197433,19585
8645,59.70049917,-0.411560863,2384,39,7.776535034,3.663561583,19622
7156,78.97659659,-0.970408678,1842,6,7.51860714,1.791759491,19693
73826,57.7710989,0.995788753,4755,1474,8.466952324,7.295734882,19698
4092,65.14900662,-0.785663605,3786,53,8.23906517,3.970291853,19701
21970,76.25065824,0.822356105,1222,28,7.108243942,3.33220458,19743
7302,68.4371808,-0.935629547,1293,26,7.164720535,3.258096457,19760
15860,67.04584626,-0.711362839,6921,39,8.842315674,3.663561583,19780
5460,82.34610918,-0.584192693,2067,3,7.633853436,1.098612309,19785
24676,55.43717047,-0.853451729,3805,65,8.244071007,4.174387455,19807
14326,94.08473221,0.318517596,12292,34,9.416704178,3.526360512,19809
16666,84.80404879,1.450537205,6144,3643,8.723231316,8.200562477,19821
10804,74.73563875,0.007566708,677,16,6.517671108,2.77258873,19824
13241,69.76288108,0.976970255,155,20,5.043425083,2.995732307,19845
279165,51.69973797,-0.940721214,60174,1104,11.00499535,7.006695271,20001
65630,30.78515507,-0.735131443,13279,294,9.4939394,5.683579922,20011
45542,48.37737599,-0.895439446,35665,76,10.48192501,4.330733299,20013
14110,52.77850935,-0.979853809,5705,1,8.649098396,0,20032
14502,60.63876652,-0.850395322,11653,17,9.363319397,2.833213329,20045
26471,58.08446104,-0.949455559,7653,56,8.942852974,4.025351524,20060
23597,54.00097387,0.088756643,5217,19,8.559678078,2.944438934,20175
